filename,category,confidence,motion_max,motion_mean,scene_diff_max,scene_diff_mean,brightness_mean
2026-07-01-11-11.mp4,has_truck,0.79,47.3724,3.1193,54.8134,19.0293,93.8068
2026-07-01-11-21.mp4,no_truck,0.5,7.5165,2.8514,6.1749,3.1649,95.0492
2026-07-01-11-31.mp4,no_truck,0.5,10.9683,3.3563,9.421,6.4069,94.4141
2026-07-01-11-41.mp4,has_truck,0.769,46.1155,2.8737,52.5955,37.2911,93.7535
2026-07-01-11-51.mp4,no_truck,0.974,0.3077,0.0115,0.319,0.2678,91.8538
2026-07-01-12-01.mp4,no_truck,0.991,0.1124,0.0117,0.0959,0.006,92.0484
2026-07-01-12-11.mp4,no_truck,0.605,4.7444,0.2865,3.8932,1.0489,92.4543
2026-07-01-12-21.mp4,no_truck,0.997,0.036,0.0042,0.0286,0.002,93.2822
2026-07-01-12-31.mp4,no_truck,0.643,4.2847,0.1888,3.803,0.9889,92.5365
2026-07-01-12-41.mp4,no_truck,0.917,0.9983,0.0536,0.9197,0.0249,93.3659
2026-07-01-12-51.mp4,no_truck,1.0,0.0004,0.0,0.0004,0.0,94.0151
2026-07-01-13-01.mp4,no_truck,0.981,0.2235,0.0159,0.1879,0.0631,94.0627
2026-07-01-13-11.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,93.8824
2026-07-01-13-21.mp4,no_truck,0.999,0.0113,0.0006,0.0139,0.0005,93.8684
2026-07-01-13-31.mp4,no_truck,0.994,0.072,0.0059,0.0738,0.0351,94.1762
2026-07-01-13-41.mp4,no_truck,0.994,0.0712,0.0023,0.0716,0.0194,94.2892
2026-07-01-13-51.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,94.0905
2026-07-01-14-01.mp4,no_truck,0.994,0.0703,0.0067,0.0777,0.0604,93.9681
2026-07-01-14-11.mp4,no_truck,1.0,0.0043,0.0002,0.0039,0.0002,93.7135
2026-07-01-14-21.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,93.6868
2026-07-01-14-31.mp4,no_truck,0.999,0.0148,0.001,0.0082,0.0004,93.72
2026-07-01-14-41.mp4,no_truck,0.999,0.0078,0.0006,0.0078,0.0023,93.9814
2026-07-01-14-51.mp4,no_truck,0.999,0.0178,0.0013,0.0143,0.0076,94.1168
2026-07-01-15-01.mp4,no_truck,0.93,0.839,0.0454,0.8212,0.0266,94.1746
2026-07-01-15-11.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,94.3457
2026-07-01-15-21.mp4,no_truck,0.925,0.8954,0.0483,0.8728,0.0253,94.3516
2026-07-01-15-31.mp4,no_truck,0.929,0.8516,0.0457,0.8264,0.0226,93.7449
2026-07-01-15-41.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,93.6773
2026-07-01-15-51.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,93.5078
2026-07-01-16-01.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,93.3651
2026-07-01-16-11.mp4,no_truck,1.0,0.0,0.0,0.0,0.0,93.3914
2026-07-01-16-21.mp4,has_truck,0.71,42.5773,2.462,44.4627,27.9205,94.2473
2026-07-01-16-31.mp4,no_truck,0.5,9.7791,2.6559,12.3859,8.0837,93.6724
2026-07-01-16-41.mp4,no_truck,0.5,8.1011,2.3884,12.6853,7.3079,94.8551
2026-07-01-16-51.mp4,has_truck,0.777,46.6042,4.456,45.7491,16.7076,92.4195
2026-07-01-17-01.mp4,no_truck,0.5,7.5464,1.9058,15.0434,7.6319,92.9524
2026-07-01-17-11.mp4,has_truck,0.745,44.7131,4.2304,42.4527,8.6312,94.413
2026-07-01-17-21.mp4,no_truck,0.502,5.9757,1.0306,12.8247,7.6601,98.1184
2026-07-01-17-31.mp4,no_truck,0.5,6.0117,1.0815,10.1519,3.2409,97.243
2026-07-01-17-41.mp4,has_truck,0.7,41.9826,4.9442,39.023,15.0592,95.5889
2026-07-01-17-51.mp4,no_truck,0.5,8.4566,3.56,17.6849,11.1145,93.1876
2026-07-01-18-01.mp4,has_truck,0.575,34.5256,3.9637,38.0569,16.7325,93.857
2026-07-01-18-11.mp4,has_truck,0.666,39.977,3.9577,40.9887,20.3442,91.2419
2026-07-01-18-21.mp4,no_truck,0.5,7.5725,3.1303,13.4392,7.454,88.43
2026-07-01-18-31.mp4,no_truck,0.5,10.0929,2.7467,8.7513,5.8608,88.8978
2026-07-01-18-41.mp4,has_truck,0.886,53.1589,5.7968,47.9922,22.5939,90.1584
2026-07-01-18-51.mp4,no_truck,0.5,6.1359,2.3693,14.7157,8.5344,90.4314
2026-07-01-19-01.mp4,has_truck,0.59,35.3854,3.9428,38.7539,7.2882,91.7462
2026-07-01-19-11.mp4,no_truck,0.5,8.23,2.7982,13.6545,8.2479,98.0959
2026-07-01-19-21.mp4,has_truck,0.817,49.0178,1.7603,49.1697,39.223,94.8786
2026-07-01-19-31.mp4,has_truck,0.698,41.862,3.1939,44.7726,25.3523,95.7386
2026-07-01-19-41.mp4,no_truck,0.5,9.4175,3.0997,17.8941,9.8359,95.6619
2026-07-01-19-51.mp4,has_truck,0.782,46.9444,4.95,37.582,19.225,94.7746
2026-07-01-20-01.mp4,has_truck,0.872,52.2938,5.9855,44.6732,13.8293,93.413
2026-07-01-20-11.mp4,no_truck,0.5,8.4015,2.658,14.9093,6.3197,91.4965
2026-07-01-20-21.mp4,has_truck,0.783,46.9839,3.6931,38.997,23.9518,96.9208
2026-07-01-20-31.mp4,has_truck,0.792,47.503,3.8766,46.7166,12.2118,97.9762
2026-07-01-20-41.mp4,no_truck,0.5,9.5269,2.8238,16.5668,8.8942,95.173
2026-07-01-20-51.mp4,has_truck,0.863,51.8008,5.0807,49.52,15.7303,95.6773
2026-07-01-21-01.mp4,no_truck,0.5,8.5864,1.7234,11.1667,5.9079,96.2797
2026-07-01-21-11.mp4,has_truck,0.796,47.7778,5.2218,45.6801,17.2057,94.2116
2026-07-01-21-21.mp4,has_truck,0.711,42.6463,4.0582,42.9918,11.4708,92.8476
2026-07-01-21-31.mp4,has_truck,0.755,45.2826,4.6739,47.8524,35.9628,96.5081
2026-07-01-21-41.mp4,has_truck,0.617,37.0113,5.3062,42.5851,8.3006,99.6168
2026-07-01-21-51.mp4,no_truck,0.5,9.8633,3.537,11.6671,6.6699,100.0949
2026-07-01-22-01.mp4,has_truck,0.559,33.5378,2.6485,42.8911,30.6763,121.0414
2026-07-01-22-11.mp4,has_truck,1.0,60.8003,6.6343,57.2539,34.1045,117.7957
2026-07-01-22-21.mp4,no_truck,0.5,8.747,3.3365,18.9414,11.1339,116.2141
